场景,音色名称,voice_type,语种,支持的情感,上线业务方,试听文本
多情感,冷酷哥哥（多情感）,zh_male_lengkugege_emo_v2_mars_bigtts,中文,生气，冷漠，恐惧，开心，厌恶，中性，悲伤，沮丧,,
教育场景,Tina老师,zh_female_yingyujiaoyu_mars_bigtts,中，英式英语,,,
客服场景,暖阳女声,zh_female_kefunvsheng_mars_bigtts,仅中文,,,
通用场景,甜美桃子,zh_female_tianmeitaozi_mars_bigtts,中文,,,
通用场景,Vivi,zh_female_vv_mars_bigtts,中文,,,
通用场景,灿灿/Shiny,zh_female_cancan_mars_bigtts,中文，美式英语,,,"you seem a bit down. Let's look on the bright side！ There's always something good around the corner. A smile can change the world，so let's shine together and make it a better place."
通用场景,清新女声,zh_female_qingxinnvsheng_mars_bigtts,中文,,,
通用场景,爽快思思/Skye,zh_female_shuangkuaisisi_moon_bigtts,中文，美式英语,,豆包，Cici，web demo,
通用场景,温暖阿虎/Alvin,zh_male_wennuanahu_moon_bigtts,中文，美式英语,,豆包，Cici,"So, what do you want to talk about？ Sports？Movies？ Music？ Or anything else that comes to mind. Let's have a great conversation！"
通用场景,少年梓辛/Brayan,zh_male_shaonianzixin_moon_bigtts,中文，美式英语,,豆包，Cici，剪映,"How are you today？ I had a really cool day at school today. We had a great science class and I learned some fascinating stuff. And then I played basketball with my friends during the break, it was so much fun. What about you？"
通用场景,知性女声,zh_female_zhixingnvsheng_mars_bigtts,中文,,,
通用场景,清爽男大,zh_male_qingshuangnanda_mars_bigtts,中文,,豆包,
通用场景,邻家女孩,zh_female_linjianvhai_moon_bigtts,中文,,豆包，Cici,
通用场景,渊博小叔,zh_male_yuanboxiaoshu_moon_bigtts,中文,,豆包，Cici，剪映,
通用场景,阳光青年,zh_male_yangguangqingnian_moon_bigtts,中文,,豆包，Cici，StoryAi,
通用场景,甜美小源,zh_female_tianmeixiaoyuan_moon_bigtts,中文,,豆包,
通用场景,清澈梓梓,zh_female_qingchezizi_moon_bigtts,中文,,豆包,
通用场景,解说小明,zh_male_jieshuoxiaoming_moon_bigtts,中文,,豆包,
通用场景,开朗姐姐,zh_female_kailangjiejie_moon_bigtts,中文,,豆包,
通用场景,邻家男孩,zh_male_linjiananhai_moon_bigtts,中文,,豆包,
通用场景,甜美悦悦,zh_female_tianmeiyueyue_moon_bigtts,中文,,豆包,
通用场景,心灵鸡汤,zh_female_xinlingjitang_moon_bigtts,中文,,豆包,
通用场景,知性温婉,ICL_zh_female_zhixingwenwan_tob,中文,,猫箱,
通用场景,暖心体贴,ICL_zh_male_nuanxintitie_tob,中文,,猫箱,
通用场景,温柔文雅,ICL_zh_female_wenrouwenya_tob,中文,,猫箱,
通用场景,开朗轻快,ICL_zh_male_kailangqingkuai_tob,中文,,猫箱,
通用场景,活泼爽朗,ICL_zh_male_huoposhuanglang_tob,中文,,猫箱,
通用场景,率真小伙,ICL_zh_male_shuaizhenxiaohuo_tob,中文,,猫箱,
通用场景,温柔小哥,zh_male_wenrouxiaoge_mars_bigtts,中文,,,
通用场景,亲切女声,zh_female_qinqienvsheng_moon_bigtts,中文,,豆包,
通用场景,机灵小伙,ICL_zh_male_shenmi_v1_tob,中文,,StoryAi,
通用场景,元气甜妹,ICL_zh_female_wuxi_tob,中文,,StoryAi,
通用场景,知心姐姐,ICL_zh_female_wenyinvsheng_v1_tob,中文,,StoryAi,
通用场景,阳光阿辰,zh_male_qingyiyuxuan_mars_bigtts,中文,,,
通用场景,快乐小东/Daniel,zh_male_xudong_conversation_wvae_bigtts,"中文，英式英语",,"豆包,Cici,web demo",
通用场景,冷酷哥哥,ICL_zh_male_lengkugege_v1_tob,中文,,豆包,
通用场景,纯澈女生,ICL_zh_female_feicui_v1_tob,中文,,StoryAi,
通用场景,初恋女友,ICL_zh_female_yuxin_v1_tob,中文,,StoryAi,
通用场景,贴心闺蜜,ICL_zh_female_xnx_tob,中文,,StoryAi,
通用场景,温柔白月光,ICL_zh_female_yry_tob,中文,,StoryAi,
通用场景,开朗学长,en_male_jason_conversation_wvae_bigtts,中文,,豆包,
通用场景,魅力苏菲/Sophie,zh_female_sophie_conversation_wvae_bigtts,"中文，美式英语",,,
通用场景,贴心妹妹,ICL_zh_female_yilin_tob,中文,,StoryAi,
多语种,Smith,en_male_smith_mars_bigtts,英式英语,,,
多语种,Anna,en_female_anna_mars_bigtts,英式英语,,,
多语种,Adam,en_male_adam_mars_bigtts,美式英语,,,"I'm not afraid of challenges. I believe that with my determination and efforts, I can break through any difficulties and reach the peak of success. I'm ready to face whatever comes my way."
多语种,Sarah,en_female_sarah_mars_bigtts,澳洲英语,,,
多语种,Dryw,en_male_dryw_mars_bigtts,澳洲英语,,,
多语种,かずね（和音）/Javier or Álvaro,multi_male_jingqiangkanye_moon_bigtts,日语，西语,,Cici,
多语种,はるこ（晴子）/Esmeralda,multi_female_shuangkuaisisi_moon_bigtts,日语，西语,,Cici,
多语种,ひろし（広志）/Roberto,multi_male_wanqudashu_moon_bigtts,日语，西语,,Cici,
多语种,あけみ（朱美）,multi_female_gaolengyujie_moon_bigtts,日语,,Cici,
多语种,Amanda,en_female_amanda_mars_bigtts,美式英语,,,"Page 12 foreshadowing the icepick murder – hear that bone-chilling wind through lace curtains？"
多语种,Jackson,en_male_jackson_mars_bigtts,美式英语,,,"Yo squad turn it UP！ Glow sticks in the air. I wanna see mosh pits forming NOW！"
多语种,Cartoon Chef,ICL_en_male_cc_sha_v1_tob,美式英语,,CC,"Become a master chef in Shawarma 93- Cartoon Chef - DM！ Cook shawarma like a pro and serve up fun！"
多语种,ひかる（光）,multi_zh_male_youyoujunzi_moon_bigtts,日语,,Cici,
多语种,Emily,en_female_emily_mars_bigtts,英式英语,,豆包,
多语种,Lucas,zh_male_M100_conversation_wvae_bigtts,美式英语,,"豆包,Cici,web demo","Some souls are like constellations—even when they're far apart, their light still finds a way to connect. Maybe that's why I still feel your warmth, even on the coldest nights."
多语种,Diana,multi_female_maomao_conversation_wvae_bigtts_spanish,西语,,Cici,
多语种,Lucía,multi_male_M100_conversation_wvae_bigtts_spanish,西语,,Cici,
多语种,Sofía,multi_female_sophie_conversation_wvae_bigtts_spanish,西语,,,
多语种,Daníel,multi_male_xudong_conversation_wvae_bigtts_spanish,西语,,,
多语种,さとみ（智美）,multi_female_sophie_conversation_wvae_bigtts_japanese,日语,,,
多语种,まさお（正男）,multi_male_xudong_conversation_wvae_bigtts_japanese,日语,,,
多语种,つき（月）,multi_female_maomao_conversation_wvae_bigtts_japanese,日语,,Cici,
多语种,Daisy,en_female_dacey_conversation_wvae_bigtts,美式英语,,"豆包,Cici,web demo",
多语种,Owen,en_male_charlie_conversation_wvae_bigtts,美式英语,,"豆包,Cici",
多语种,Ethan,ICL_en_male_aussie_v1_tob,澳洲英语,,CC,
多语种,Luna,en_female_sarah_new_conversation_wvae_bigtts,美式英语,,"豆包,Cici,web demo",
多语种,Michael,ICL_en_male_michael_tob,美式英语,,豆包,
多语种,Alastor,ICL_en_male_cc_alastor_tob,英式英语,,CC,
多语种,Charlie,ICL_en_female_cc_cm_v1_tob,美式英语,,CC,
多语种,Big Boogie,ICL_en_male_oogie2_tob,美式英语,,"TT,豆包",
多语种,Frosty Man,ICL_en_male_frosty1_tob,美式英语,,"TT,豆包",
多语种,The Grinch,ICL_en_male_grinch2_tob,美式英语,,"TT,豆包",
多语种,Zayne,ICL_en_male_zayne_tob,美式英语,,CC,
多语种,Jigsaw,ICL_en_male_cc_jigsaw_tob,美式英语,,CC,
多语种,Chucky,ICL_en_male_cc_chucky_tob,美式英语,,CC,
多语种,Clown Man,ICL_en_male_cc_penny_v1_tob,美式英语,,CC,
多语种,Kevin McCallister,ICL_en_male_kevin2_tob,美式英语,,豆包,
多语种,Xavier,ICL_en_male_xavier1_v1_tob,美式英语,,CC,
多语种,Noah,ICL_en_male_cc_dracula_v1_tob,美式英语,,CC,
多语种,Energetic Male II,en_male_campaign_jamal_moon_bigtts,美式英语,,,
多语种,Gotham Hero,en_male_chris_moon_bigtts,美式英语,,,
多语种,Delicate Girl,en_female_daisy_moon_bigtts,英式英语,,,
多语种,Flirty Female,en_female_product_darcie_moon_bigtts,美式英语,,,
多语种,Peaceful Female,en_female_emotional_moon_bigtts,美式英语,,,
多语种,Nara,en_female_nara_moon_bigtts,美式英语,,,
多语种,Candice,en_female_candice_emo_v2_mars_bigtts,美式英语,深情，愤怒，ASMR，对话/闲聊，兴奋，愉悦，中性，温暖,,"(对话/闲聊)Oh darling, did you see the new bookshop on Portobello Road？ Its windows are stacked with paperbacks like honeycombs, simply divine."
多语种,Corey,en_male_corey_emo_v2_mars_bigtts,英式英语,愤怒，ASMR，权威，对话/闲聊，深情，兴奋，愉悦，中性，悲伤，温暖,,
多语种,Nadia1,en_female_nadia_tips_emo_v2_mars_bigtts,英式英语,深情，愤怒，ASMR，对话/闲聊，兴奋，愉悦，中性，悲伤，温暖,,"(深情)Your palm still holds the warmth of that Parisianmidnight when we shared espresso so bitter, itmade falling in love feel like a dare."
多语种,Serena,en_female_skye_emo_v2_mars_bigtts,美式英语,深情，愤怒，ASMR，对话/闲聊，兴奋，愉悦，中性，悲伤，温暖,,"(激动)I build my own path chase dreams bravely and shine brighter than anyone's expectations."
多语种,Bruce,en_male_bruce_moon_bigtts,美式英语,,,
多语种,Dave,en_male_dave_moon_bigtts,英式英语,,,
多语种,Michael,en_male_michael_moon_bigtts,美式英语,,,
多语种,Hades,en_male_hades_moon_bigtts,英式英语,,,
多语种,Onez,en_female_onez_moon_bigtts,英式英语,,,
多语种,Glen,en_male_glen_emo_v2_mars_bigtts,美式英语,深情，愤怒，ASMR，对话/闲聊，深情，兴奋，愉悦，中性，悲伤，温暖,,"(中性)Balance ambition with gratitude:count wins, but never forget the quiet moments that make life worth living."
多语种,Nadia2,en_female_nadia_poetry_emo_v2_mars_bigtts,美式英语,ASMR，深情，愤怒，对话/闲聊，兴奋，愉悦，中性，悲伤，温暖,,"(深情)Your palm still holds the warmth of that Parisianmidnight when we shared espresso so bitter, itmade falling in love feel like a dare."
多语种,Sylus,en_male_sylus_emo_v2_mars_bigtts,美式英语,深情，愤怒，ASMR，权威，对话/闲聊，兴奋，愉悦，中性，悲伤，温暖,,"(中性)Chase dreams like they're the last minute of overtime—sweat, scream, and leave no room for 'what ifs' in the game of life."
趣味口音,京腔侃爷/Harmony,zh_male_jingqiangkanye_moon_bigtts,中文-北京口音，英文,,豆包，Cici，web demo,
趣味口音,湾湾小何,zh_female_wanwanxiaohe_moon_bigtts,中文-台湾口音,,豆包，Cici,
趣味口音,湾区大叔,zh_female_wanqudashu_moon_bigtts,中文-广东口音,,豆包，Cici,
趣味口音,呆萌川妹,zh_female_daimengchuanmei_moon_bigtts,中文-四川口音,,豆包，Cici,
趣味口音,广州德哥,zh_male_guozhoudege_moon_bigtts,中文-广东口音,,豆包，Cici,
趣味口音,北京小爷,zh_male_beijingxiaoye_moon_bigtts,中文-北京口音,,豆包,
趣味口音,浩宇小哥,zh_male_haoyuxiaoge_moon_bigtts,中文-青岛口音,,豆包,
趣味口音,广西远舟,zh_male_guangxiyuanzhou_moon_bigtts,中文-广西口音,,豆包,
趣味口音,妹坨洁儿,zh_female_meituojieer_moon_bigtts,中文-长沙口音,,豆包，剪映,
趣味口音,豫州子轩,zh_male_yuzhouzixuan_moon_bigtts,中文-河南口音,,豆包,
角色扮演,奶气萌娃,zh_male_naiqimengwa_mars_bigtts,中文,,剪映，豆包,
角色扮演,婆婆,zh_female_popo_mars_bigtts,中文,,剪映C端，抖音，豆包,
角色扮演,高冷御姐,zh_female_gaolengyujie_moon_bigtts,中文,,豆包，Cici,
角色扮演,傲娇霸总,zh_male_aojiaobazong_moon_bigtts,中文,,豆包,
角色扮演,魅力女友,zh_female_meilinvyou_moon_bigtts,中文,,豆包，剪映,
角色扮演,深夜播客,zh_male_shenyeboke_moon_bigtts,中文,,豆包,
角色扮演,柔美女友,zh_female_sajiaonvyou_moon_bigtts,中文,,豆包，剪映,
角色扮演,撒娇学妹,zh_female_yuanqinvyou_moon_bigtts,中文,,豆包，剪映,
角色扮演,病弱少女,ICL_zh_female_bingruoshaonv_tob,中文,,,
角色扮演,活泼女孩,ICL_zh_female_huoponvhai_tob,中文,,,
角色扮演,东方浩然,zh_male_dongfanghaoran_moon_bigtts,中文,,豆包,
角色扮演,绿茶小哥,ICL_zh_male_lvchaxiaoge_tob,中文,,StoryAi，猫箱,
角色扮演,娇弱萝莉,ICL_zh_female_jiaoruoluoli_tob,中文,,猫箱,
角色扮演,冷淡疏离,ICL_zh_male_lengdanshuli_tob,中文,,猫箱,
角色扮演,憨厚敦实,ICL_zh_male_hanhoudunshi_tob,中文,,猫箱,
角色扮演,傲气凌人,ICL_zh_male_aiqilingren_tob,中文,,猫箱,
角色扮演,活泼刁蛮,ICL_zh_female_huopodiaoman_tob,中文,,猫箱,
角色扮演,固执病娇,ICL_zh_male_guzhibingjiao_tob,中文,,猫箱,
角色扮演,撒娇粘人,ICL_zh_male_sajiaonianren_tob,中文,,猫箱,
角色扮演,傲慢娇声,ICL_zh_female_aomanjiaosheng_tob,中文,,猫箱,
角色扮演,潇洒随性,ICL_zh_male_xiaosasuixing_tob,中文,,猫箱,
角色扮演,腹黑公子,ICL_zh_male_fuheigongzi_tob,中文,,StoryAi，猫箱,
角色扮演,诡异神秘,ICL_zh_male_guiyishenmi_tob,中文,,猫箱,
角色扮演,儒雅才俊,ICL_zh_male_ruyacaijun_tob,中文,,猫箱,
角色扮演,病娇白莲,ICL_zh_male_bingjiaobailian_tob,中文,,猫箱,
角色扮演,正直青年,ICL_zh_male_zhengzhiqingnian_tob,中文,,StoryAi，猫箱,
角色扮演,娇憨女王,ICL_zh_female_jiaohannvwang_tob,中文,,StoryAi，猫箱,
角色扮演,病娇萌妹,ICL_zh_female_bingjiaomengmei_tob,中文,,猫箱,
角色扮演,青涩小生,ICL_zh_male_qingsenaigou_tob,中文,,猫箱,
角色扮演,纯真学弟,ICL_zh_male_chunzhenxuedi_tob,中文,,豆包，猫箱,
角色扮演,暖心学姐,ICL_zh_female_nuanxinxuejie_tob,中文,,猫箱,
角色扮演,可爱女生,ICL_zh_female_keainvsheng_tob,中文,,猫箱,
角色扮演,成熟姐姐,ICL_zh_female_chengshujiejie_tob,中文,,豆包，猫箱,
角色扮演,病娇姐姐,ICL_zh_female_bingjiaojiejie_tob,中文,,豆包，猫箱,
角色扮演,优柔帮主,ICL_zh_male_youroubangzhu_tob,中文,,猫箱,
角色扮演,优柔公子,ICL_zh_male_yourougongzi_tob,中文,,豆包，猫箱,
角色扮演,妩媚御姐,ICL_zh_female_wumeiyujie_tob,中文,,豆包，StoryAi,
角色扮演,调皮公主,ICL_zh_female_tiaopigongzhu_tob,中文,,猫箱,
角色扮演,傲娇女友,ICL_zh_female_aojiaonvyou_tob,中文,,豆包，猫箱,
角色扮演,贴心男友,ICL_zh_male_tiexinnanyou_tob,中文,,豆包，猫箱,
角色扮演,少年将军,ICL_zh_male_shaonianjiangjun_tob,中文,,豆包，猫箱,
角色扮演,贴心女友,ICL_zh_female_tiexinnvyou_tob,中文,,豆包，猫箱,
角色扮演,病娇哥哥,ICL_zh_male_bingjiaogege_tob,中文,,豆包，猫箱,
角色扮演,学霸男同桌,ICL_zh_male_xuebanantongzhuo_tob,中文,,豆包，猫箱,
角色扮演,幽默叔叔,ICL_zh_male_youmoshushu_tob,中文,,豆包，猫箱,
角色扮演,妩媚可人,ICL_zh_female_ganli_v1_tob,中文,,StoryAi,
角色扮演,邪魅御姐,ICL_zh_female_xiangliangya_v1_tob,中文,,StoryAi,
角色扮演,性感御姐,ICL_zh_female_xingganyujie_tob,中文,,豆包，猫箱,
角色扮演,嚣张小哥,ICL_zh_male_ms_tob,中文,,StoryAi,
角色扮演,油腻大叔,ICL_zh_male_you_tob,中文,,StoryAi,
角色扮演,孤傲公子,ICL_zh_male_guaogongzi_v1_tob,中文,,豆包,
角色扮演,胡子叔叔,ICL_zh_male_huzi_v1_tob,中文,,StoryAi,
角色扮演,性感魅惑,ICL_zh_female_luoqing_v1_tob,中文,,StoryAi,
角色扮演,双节棍小哥,zh_male_zhoujielun_emo_v2_mars_bigtts,中文-台湾口音,,"抖音,剪映,豆包",
角色扮演,病弱公子,ICL_zh_male_bingruogongzi_tob,中文,,豆包,
角色扮演,邪魅女王,ICL_zh_female_bingjiao3_tob,中文,,StoryAi,
角色扮演,假小子,ICL_zh_female_jiaxiaozi_tob,中文,,豆包，猫箱,
角色扮演,冷峻上司,ICL_zh_male_lengjunshangsi_tob,中文,,豆包，猫箱,
角色扮演,温柔男同桌,ICL_zh_male_wenrounantongzhuo_tob,中文,,豆包，猫箱,
角色扮演,病娇弟弟,ICL_zh_male_bingjiaodidi_tob,中文,,豆包，猫箱,
角色扮演,幽默大爷,ICL_zh_male_youmodaye_tob,中文,,豆包，猫箱,
角色扮演,傲慢少爷,ICL_zh_male_aomanshaoye_tob,中文,,豆包，猫箱,
角色扮演,枕边低语,ICL_zh_male_asmryexiu_tob,中文,,抖音,
角色扮演,傲慢青年,ICL_zh_male_aomanqingnian_tob,中文,,,
角色扮演,醋精男友,ICL_zh_male_cujingnanyou_tob,中文,,,
角色扮演,醋精男生,ICL_zh_male_cujingnansheng_tob,中文,,,
角色扮演,爽朗少年,ICL_zh_male_shuanglangshaonian_tob,中文,,,
角色扮演,撒娇男友,ICL_zh_male_sajiaonanyou_tob,中文,,,
角色扮演,温柔男友,ICL_zh_male_wenrounanyou_tob,中文,,,
角色扮演,温顺少年,ICL_zh_male_wenshunshaonian_tob,中文,,,
角色扮演,粘人男友,ICL_zh_male_naigounanyou_tob,中文,,,
角色扮演,撒娇男生,ICL_zh_male_sajiaonansheng_tob,中文,,,
角色扮演,活泼男友,ICL_zh_male_huoponanyou_tob,中文,,,
角色扮演,甜系男友,ICL_zh_male_tianxinanyou_tob,中文,,,
角色扮演,活力青年,ICL_zh_male_huoliqingnian_tob,中文,,,
角色扮演,开朗青年,ICL_zh_male_kailangqingnian_tob,中文,,,
角色扮演,冷漠兄长,ICL_zh_male_lengmoxiongzhang_tob,中文,,,
角色扮演,天才同桌,ICL_zh_male_tiancaitongzhuo_tob,中文,,,
角色扮演,傲娇精英,ICL_zh_male_aojiaojingying_tob,中文,,,
角色扮演,翩翩公子,ICL_zh_male_pianpiangongzi_tob,中文,,,
角色扮演,懵懂青年,ICL_zh_male_mengdongqingnian_tob,中文,,,
角色扮演,冷脸兄长,ICL_zh_male_lenglianxiongzhang_tob,中文,,,
角色扮演,病娇少年,ICL_zh_male_bingjiaoshaonian_tob,中文,,,
角色扮演,病娇男友,ICL_zh_male_bingjiaonanyou_tob,中文,,,
角色扮演,病弱少年,ICL_zh_male_bingruoshaonian_tob,中文,,,
角色扮演,意气少年,ICL_zh_male_yiqishaonian_tob,中文,,,
角色扮演,干净少年,ICL_zh_male_ganjingshaonian_tob,中文,,,
角色扮演,冷漠男友,ICL_zh_male_lengmonanyou_tob,中文,,,
角色扮演,精英青年,ICL_zh_male_jingyingqingnian_tob,中文,,,
角色扮演,风发少年,ICL_zh_male_fengfashaonian_tob,中文,,,
角色扮演,热血少年,ICL_zh_male_rexueshaonian_tob,中文,,,
角色扮演,清爽少年,ICL_zh_male_qingshuangshaonian_tob,中文,,,
角色扮演,中二青年,ICL_zh_male_zhongerqingnian_tob,中文,,,
角色扮演,凌云青年,ICL_zh_male_lingyunqingnian_tob,中文,,,
角色扮演,自负青年,ICL_zh_male_zifuqingnian_tob,中文,,,
角色扮演,不羁青年,ICL_zh_male_bujiqingnian_tob,中文,,,
角色扮演,儒雅君子,ICL_zh_male_ruyajunzi_tob,中文,,,
角色扮演,低音沉郁,ICL_zh_male_diyinchenyu_tob,中文,,,
角色扮演,冷脸学霸,ICL_zh_male_lenglianxueba_tob,中文,,,
角色扮演,儒雅总裁,ICL_zh_male_ruyazongcai_tob,中文,,,
角色扮演,深沉总裁,ICL_zh_male_shenchenzongcai_tob,中文,,,
角色扮演,小侯爷,ICL_zh_male_xiaohouye_tob,中文,,,
角色扮演,孤高公子,ICL_zh_male_gugaogongzi_tob,中文,,,
角色扮演,仗剑君子,ICL_zh_male_zhangjianjunzi_tob,中文,,,
角色扮演,温润学者,ICL_zh_male_wenrunxuezhe_tob,中文,,,
角色扮演,亲切青年,ICL_zh_male_qinqieqingnian_tob,中文,,,
角色扮演,温柔学长,ICL_zh_male_wenrouxuezhang_tob,中文,,,
角色扮演,磁性男嗓,ICL_zh_male_cixingnansang_tob,中文,,,
角色扮演,高冷总裁,ICL_zh_male_gaolengzongcai_tob,中文,,,
角色扮演,冷峻高智,ICL_zh_male_lengjungaozhi_tob,中文,,,
角色扮演,孱弱少爷,ICL_zh_male_chanruoshaoye_tob,中文,,,
角色扮演,自信青年,ICL_zh_male_zixinqingnian_tob,中文,,,
角色扮演,青涩青年,ICL_zh_male_qingseqingnian_tob,中文,,,
角色扮演,学霸同桌,ICL_zh_male_xuebatongzhuo_tob,中文,,,
角色扮演,冷傲总裁,ICL_zh_male_lengaozongcai_tob,中文,,,
角色扮演,霸道少爷,ICL_zh_male_badaoshaoye_tob,中文,,,
角色扮演,元气少年,ICL_zh_male_yuanqishaonian_tob,中文,,,
角色扮演,洒脱青年,ICL_zh_male_satuoqingnian_tob,中文,,,
角色扮演,直率青年,ICL_zh_male_zhishuaiqingnian_tob,中文,,,
角色扮演,斯文青年,ICL_zh_male_siwenqingnian_tob,中文,,,
角色扮演,成熟总裁,ICL_zh_male_chengshuzongcai_tob,中文,,,
角色扮演,俊逸公子,ICL_zh_male_junyigongzi_tob,中文,,,
角色扮演,傲娇公子,ICL_zh_male_aojiaogongzi_tob,中文,,,
角色扮演,仗剑侠客,ICL_zh_male_zhangjianxiake_tob,中文,,,
角色扮演,机甲智能,ICL_zh_male_jijiaozhineng_tob,中文,,,
角色扮演,神秘法师,ICL_zh_male_shenmifashi_tob,中文,,豆包，猫箱,
角色扮演,霸道总裁,ICL_zh_male_badaozongcai_v1_tob,中文,,,
视频配音,悠悠君子,zh_male_M100_conversation_wvae_bigtts,中文,,"豆包,Cici,web demo",
视频配音,文静毛毛,zh_female_maomao_conversation_wvae_bigtts,中文,,"豆包,web demo",
视频配音,倾心少女,ICL_zh_female_qiuling_v1_tob,中文,,StoryAi,
视频配音,醇厚低音,ICL_zh_male_buyan_v1_tob,中文,,StoryAi,
视频配音,咆哮小哥,ICL_zh_male_BV144_paoxiaoge_v1_tob,中文,,StoryAi,
视频配音,和蔼奶奶,ICL_zh_female_heainainai_tob,中文,,,
视频配音,邻居阿姨,ICL_zh_female_linjuayi_tob,中文,,,
视频配音,温柔小雅,zh_female_wenrouxiaoya_moon_bigtts,中文,,豆包,
视频配音,天才童声,zh_male_tiancaitongsheng_mars_bigtts,中文,,,
视频配音,猴哥,zh_male_sunwukong_mars_bigtts,中文,,,
视频配音,熊二,zh_male_xionger_mars_bigtts,中文,,抖音，剪映C端，豆包,
视频配音,佩奇猪,zh_female_peiqi_mars_bigtts,中文,,抖音，剪映订阅，豆包,
视频配音,武则天,zh_female_wuzetian_mars_bigtts,中文,,剪映,
视频配音,顾姐,zh_female_gujie_mars_bigtts,中文,,抖音，剪映C端,
视频配音,樱桃丸子,zh_female_yingtaowanzi_mars_bigtts,中文,,剪映订阅，抖音，豆包,
视频配音,广告解说,zh_male_chunhui_mars_bigtts,中文,,剪映,
视频配音,少儿故事,zh_female_shaoergushi_mars_bigtts,中文,,,
视频配音,四郎,zh_male_silang_mars_bigtts,中文,,抖音，剪映C端，豆包,
视频配音,磁性解说男声/Morgan,zh_male_jieshuonansheng_mars_bigtts,中文，美式英语,,抖音，剪映,
视频配音,鸡汤妹妹/Hope,zh_female_jitangmeimei_mars_bigtts,中文，美式英语,,抖音，豆包,
视频配音,贴心女声/Candy,zh_female_tiexinnvsheng_mars_bigtts,中文，美式英语,,,
视频配音,俏皮女声,zh_female_qiaopinvsheng_mars_bigtts,中文,,,
视频配音,萌丫头/Cutey,zh_female_mengyatou_mars_bigtts,中文，美式英语,,,
视频配音,懒音绵宝,zh_male_lanxiaoyang_mars_bigtts,中文,,,
视频配音,亮嗓萌仔,zh_male_dongmanhaimian_mars_bigtts,中文,,,
有声阅读,温暖少年,ICL_zh_male_yangyang_v1_tob,中文,,StoryAi,
有声阅读,儒雅公子,ICL_zh_male_flc_v1_tob,中文,,StoryAi,
有声阅读,悬疑解说,zh_male_changtianyi_mars_bigtts,中文,,剪映C端，抖音，豆包,
有声阅读,儒雅青年,zh_male_ruyaqingnian_mars_bigtts,中文,,番茄小说，豆包，剪映,
有声阅读,霸气青叔,zh_male_baqiqingshu_mars_bigtts,中文,,番茄小说，豆包，剪映，剪映-Dreamina,
有声阅读,擎苍,zh_male_qingcang_mars_bigtts,中文,,番茄小说，剪映，豆包，抖音,
有声阅读,活力小哥,zh_male_yangguangqingnian_mars_bigtts,中文,,,
有声阅读,古风少御,zh_female_gufengshaoyu_mars_bigtts,中文,,,
有声阅读,温柔淑女,zh_female_wenroushunv_mars_bigtts,中文,,番茄小说，豆包，剪映，剪映-Dreamina,
有声阅读,反卷青年,zh_male_fanjuanqingnian_mars_bigtts,中文,,,
